Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
"Squash-Chinese, for immature fruit (summer)",Benincasa hispida,BEHI3,"N,P",Fruit,Vegetable,lb of fruit ,1,94,2.666666667,0.383333333,#DIV/0!,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,1,,,,,,0.023,,,,,,
"Squash-Crockneck, for immature fruit (summer)",Cucurbita pepo var. melopepo,CUPEM,"N,P,K",Fruit,Vegetable,lb of fruit ,1,92,2.8,0.475,2.375,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475,,,,,,,,,,,,,,,,,,,,,,,,2.375,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,1.4,,,,,,0.038,,,,,0.19,
"Squash-Hubbard, for mature fruit (winter)",Cucurbita maxima,CUMA3,"N,P,K",Fruit,Vegetable,lb of fruit ,1,88,2.666666667,0.175,2.666666667,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,,,,,,,,,,,,,,2.666666667,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,2,,,,,,0.021,,,,,0.32,
"Squash-Pink Banana, for mature fruit (winter)",Cucurbita maxima,CUMA3,"N,P,K",Fruit,Vegetable,lb of fruit ,1,91,3.555555556,0.422222222,3.666666667,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,3.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422222222,,,,,,,,,,,,,,,,,,,,,,,,3.666666667,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,2,,,,,,0.038,,,,,0.33,
"Squash-Scallop, for immature fruit (summer)",Cucurbita pepo var. melopepo,CUPEM,"N,P,K",Fruit,Vegetable,lb of fruit ,1,93,2.742857143,0.514285714,2.142857143,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,2.742857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514285714,,,,,,,,,,,,,,,,,,,,,,,,2.142857143,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,1.2,,,,,,0.036,,,,,0.15,
"Squash-Zucchini, for immature fruit (summer)",Cucurbita pepo var. melopepo,CUPEM,"N,P,K",Fruit,Vegetable,lb of fruit ,1,95,3.84,0.64,4.4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,1.2,,,,,,0.032,,,,,0.22,
Strawberry,Fragaria X ananassa var. ananassa,FRANA2,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,91.28,1.253884935,0.213523132,1.96915777,32,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,8.43,,,8.72,,,,,,,,1.15776987,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,,,,0.213523132,,,,,,,,,,,,,,,,,,,,,,,,1.96915777,,,,,,,,,,,,,,,,,,91,,,,91.57,,,,,,,,,,,,,,,,,0.61,,,,,,0.018,,,,,0.166,,,
Sugar apple,Annona squamosa,ANSQ,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,73.23,1.231228988,0.119536795,0.922674636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.77,,,26.77,,,,,,,,1.231228988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119536795,,,,,,,,,,,,,,,,,,,,,,,,0.922674636,,,,,,,,,,,,,,,,,,,,,,73.23,,,,,,,,,,,,,,,,,2.06,,,,,,0.032,,,,,0.247,,,
"Sugarbeet, root with crown",Beta vulgaris,BEVU2,"N,P,K",Crown and root,Fiber and miscellaneous,ton,2000,80.3,1.342682927,0.243902439,1.524390244,2000,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,23,,,,,,,19.7,,,,,,,,,,,,1.585365854,1.1,,,,,,,,,,,,,,,,,,,,,0.243902439,,,,,,,,,,,,,,,,,,,,,,,,1.524390244,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.04,,,,,0.25,,,,
"Sugarbeet, root without crown",Beta vulgaris,BEVU2,"N,P,K",Root,Fiber and miscellaneous,ton,2000,79.28,1.052,0.2175,1.543333333,2000,,,,,,,,,,,,,,,,,20.1,19.8,20,,,,,,,,23,,,,,,,20.73,1.088,1.232,1.088,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,0.24,0.26,0.24,,,,,0.13,,,,,,,,,,,,,,,,,1.52,1.59,1.52,,,,,,,,,,,,,,,,,,,77,,,,,,,6.8,7.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sugarbeet, top with crown",Beta vulgaris,BEVU2,"N,P,K",Crown and aboveground biomass,Fiber and miscellaneous,ton,2000,83.03,2.433333333,0.225,5.79,2000,,,,,,,,,,,,,,,,,15.9,,17,,,,,,,,18,,,,,,,16.97,2.8,,2.4,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,0.22,,0.23,,,,,,,,,,,,,,,,,,,,,,5.79,,5.79,,,,,,,,,,,,,,,,,,,82,,,,,,,17.5,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sugarbeet, top without crown",Beta vulgaris,BEVU2,"N,P,K",Aboveground biomass,Fiber and miscellaneous,ton,2000,82.1,2.457865169,0.224719101,5.786516854,2000,,,,,,,,,,,,,,,,17.8,,,,,,,,,,,18,,,,,,,17.9,,,,,,,,,,,,2.415730337,2.5,,,,,,,,,,,,,,,,,,,,,0.224719101,,,,,,,,,,,,,,,,,,,,,,,,5.786516854,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.04,,,,,1.03,,,,
"Sugarcane, cane top + trash",Saccharum sp.,SACCH,"N,P,K",Leaf,Fiber and miscellaneous,ton,2000,73.83,0.866,0.235,2.96,2000,,,,,,,,,,,,,,,,,,25.5,28,,,,,,,,25,,,,,,,26.17,,,0.832,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,0.2,0.27,,,,,,,,,,,,,,,,,,,,,,,2.96,2.96,,,,,,,,,,,,,,,,,,,75,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sugarcane, millable cane (less than 12 month crop)",Saccharum sp.,SACCH,"N,P,K",Stem,Fiber and miscellaneous,ton,2000,35,0.088466667,0.020826667,0.229666667,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,65,,,,,,,,,,,,,,,,,0.076,,0.0766,0.1128,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,0.017,0.02348,,,,,,,,,,,,,,,,,,,0.333,,0.127,0.229,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sugarcane, millable cane and trash (less than 12 month crop)",Saccharum sp.,SACCH,"N,P,K",Stem and leaf,Fiber and miscellaneous,ton,2000,35,0.111,0.016,0.167,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,65,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunflower, for seed (with hull, confection type)",Helianthus annuus,HEAN3,"N,P,K",Fruit,Cereal and oil,cwt,100,7.36,3.130988604,0.619111111,0.733025641,100,,,,,,,,,,,,,,,,93.6,93.6,92,94,,,,,,,,90,,,,,,,92.64,2.864,2.976,3.552,,,,,,,,,2.873931624,3.2,,,3.32,,,,,,,,,,,,,,,,,,0.555555556,0.56,0.68,0.71,,,,,,,,0.59,,,,,,,,,,,,,0.705128205,0.71,0.74,0.72,,,,,,0.79,,,,,,,,,,,,,10,,,,,,,17.9,18.6,22.2,,,,,,,,,,,,,,,,2.69,0.52,,,,,0.66,,,,
"Sunflower, for seed (with hull, oil type)",Helianthus annuus,HEAN3,"N,P,K",Fruit,Cereal and oil,cwt,100,7.36,2.993186325,0.626388889,0.718782051,100,,,,,,,,,,,,,,,,93.6,93.6,92,94,,,,,,,,90,,,,,,,92.64,2.864,2.976,3.552,,,,,,,,,2.873931624,2.7,,,,,,,,,,,,,,,,,,,,,0.555555556,0.56,0.68,0.71,,,,,,,,,,,,,,,,,,,,,0.705128205,0.71,0.74,0.72,,,,,,,,,,,,,,,,,,,10,,,,,,,17.9,18.6,22.2,,,,,,,,,,,,,,,,2.69,0.52,,,,,0.66,,,,
"Sunflower, for stover (yield less than 500 lb/acre)",Helianthus annuus,HEAN3,"N,P,K",Stover,Cereal and oil,lb stover/cwt fruit,100,13.3,0.86,0.11,1.94,,100,,,,,,,,,,,,,,,,,,,,86.7,,,,,,,,,,,,,86.7,,,,,,,,,,,,,,,0.69,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.08,,,,,,,,,,,,,,,,,,,,,2.37,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sunflower, for stover (yield more than 500 lb/acre)",Helianthus annuus,HEAN3,"N,P,K",Stover,Cereal and oil,lb stover/cwt fruit,150,13.3,0.86,0.11,1.94,,150,,,,,,,,,,,,,,,,,,,,86.7,,,,,,,,,,,,,86.7,,,,,,,,,,,,,,,0.69,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.08,,,,,,,,,,,,,,,,,,,,,2.37,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweet Potato, for root",Ipomoea batatas,IPBA2,"N,P,K",Root,Vegetable,lb of root,1,68.85,0.909181818,0.150984848,1.036767677,40,,,,,,,,,,,,,,,,,30.6,,33,,,,,,,,28,,,,,,33,31.15,0.864,,0.8,,,,,,,0.872727273,,,1.1,,,,,,,,,,,,,,,,,,,,,,0.15,,0.14,,,0.193939394,,0.12,,,,,,,,,,,,,,,,,1.01,,1.07,,,1.03030303,,,,,,,,,,,,,,,,72,,,,,,67,5.4,,5,,,,,,,,,,,,,,1.8,,,,,,0.064,,,,,0.34,
"Sweet Potato, for vine",Ipomoea batatas,IPBA2,N,Aboveground biomass,Vegetable,ton,2000,78.1,2.048,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,21.9,,,,,,,,,,,,,,,,,21.9,2.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for green chop",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,75,2.874,0.27,1.65,"2,000",,,,,,,,,,,,,,,,,25,,,,,,,,,,25,,,,,,,25,2.848,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,75,,,,,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for green chop (full bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,67.3,2.688,0.22,1.44,"2,000",,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,,,,,,,32.7,2.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for green chop (mid bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,70.8,2.688,0.24,1.44,"2,000",,,,,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,,,29.2,2.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for green chop (pre bloom)",Melilotus sp.,MELIL,"N,P",Aboveground biomass,Forage,ton,2000,79.2,3.152,0.48,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,20.8,,,,,,,,,,,,,,,,,20.8,3.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for green chop (vegetative)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,80.3,3.472,0.44,2.95,"2,000",,,,,,,,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,19.7,3.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for hay",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,10.42,2.649712335,0.236055109,1.652559913,"2,000",,,,,,,,,,,,,,,,91.8,91.3,88.5,89,,,,,,,,85,91.9,,,,,,89.58,2.624,2.464,2.464,,,,,,,,2.820457019,2.875816994,2.65,,,,,,,,,,,,,,,,,,,,,0.283224401,0.27,0.27,0.27,,,,0.087051143,,,,,,,,,,,,,,,,,1.710239651,1.84,1.53,1.53,,,,,,,,,,,,,,,,,,,15,8.1,,,,,,16.4,15.4,15.4,,,,,,,,,,,,,,,16.2,2.64,0.26,,,,0.08,1.57,,,,
"Sweetclover, for hay (early bloom)",Melilotus sp.,MELIL,N,Aboveground biomass,Forage,ton,2000,17.4,2.768,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,82.6,82.6,,,,,,,,,,,,,,,,82.6,2.848,2.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for hay (full bloom)",Melilotus sp.,MELIL,N,Aboveground biomass,Forage,ton,2000,11.1,2.064,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,88.9,88.9,,,,,,,,,,,,,,,,88.9,2.064,2.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for hay (mature)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,8.95,1.824,0.185,0.8,"2,000",,,,,,,,,,,,,,,,,90.6,91.5,,,,,,,,,,,,,,,,91.05,1.712,1.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.18,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for hay (vegetative)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,9.8,2.576,0.295,1.78,"2,000",,,,,,,,,,,,,,,,,90.2,,,,,,,,,,,,,,,,,90.2,2.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for seed",Melilotus sp.,MELIL,N,Seed,Forage,cwt,100,7.8,6.490950109,#DIV/0!,#DIV/0!,100,,,,,,,,,,,,,,,,92.2,92.2,,,,,,,,,,,,,,,,,92.2,6.496,,,,,,,,,,,6.485900217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,,,,,,,,,,,,,5.98,,,,,,,,,,
"Sweetclover, for silage",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,70.7,2.857055928,0.21,1.955,"2,000",,,,,,,,,,,,,,,,,30.1,,28,,,,,,,,,29.8,,,,,,29.3,3.008,,2.288,,,,,,,,3.275167785,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,1.95,,1.96,,,,,,,,,,,,,,,,,,,,70.2,,,,,,18.8,,14.3,,,,,,,,,,,,,,,6.1,,,,,,,,,,,
"Sweetclover, for silage (early bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,72.8,3.424,0.25,1.95,"2,000",,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,27.2,3.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for silage (full bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,68.6,2.992,0.235,1.695,"2,000",,,,,,,,,,,,,,,,,30.1,32.7,,,,,,,,,,,,,,,,31.4,2.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.22,,,,,,,,,,,,,,,,,,,,,,,1.95,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweetclover, for silage (pre bloom)",Melilotus sp.,MELIL,"N,P,K",Aboveground biomass,Forage,ton,2000,65.2,3.44,0.25,1.95,"2,000",,,,,,,,,,,,,,,,,34.8,,,,,,,,,,,,,,,,,34.8,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Switchgrass, for green chop",Panicum virgatum,PAVI2,"N,P",Aboveground biomass,Forage,ton,2000,44.85,0.944,0.09,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,55.3,,55,,,,,,,,,,,,,,,55.15,0.864,,1.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
"Switchgrass, for green chop ( mature)",Panicum virgatum,PAVI2,"N,P,K",Aboveground biomass,Forage,ton,2000,58.07,0.81631746,0.15,1.97,"2,000",,,,,,,,,,,,,,,,42,42,41.8,,,,,,,,,,,,,,,,41.93,0.88,0.688,,,,,,,,,,0.880952381,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,4.3,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,
"Switchgrass, for green chop (full bloom)",Panicum virgatum,PAVI2,"N,P",Aboveground biomass,Forage,ton,2000,60.4,1.008,0.12,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,,,39.6,1.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Switchgrass, for green chop (over ripe)",Panicum virgatum,PAVI2,"N,P",Aboveground biomass,Forage,ton,2000,23.3,0.304,0.05,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,76.7,,,,,,,,,,,,,,,,,76.7,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Switchgrass, for green chop (vegetative)",Panicum virgatum,PAVI2,"N,P,K",Aboveground biomass,Forage,ton,2000,67.27,1.642805195,0.215,2.85,"2,000",,,,,,,,,,,,,,,,38.5,33.2,26.5,,,,,,,,,,,,,,,,32.73,1.728,1.616,,,,,,,,,,1.584415584,,,,,,,,,,,,,,,,,,,,,,,0.2,0.23,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,10.1,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,
Tamarind,Tamarindus indica,TAIN2,"N,P,K",Fruit,Tree and fruit,lb of fruit,1,31.4,0.653061224,0.164723032,0.915451895,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,,,68.6,,,,,,,,0.653061224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164723032,,,,,,,,,,,,,,,,,,,,,,,,0.915451895,,,,,,,,,,,,,,,,,,,,,,31.4,,,,,,,,,,,,,,,,,2.8,,,,,,0.113,,,,,0.628,,,
Tangerine,Citrus reticulata,CIRE3,"N,P,K",Fruit,Tree and fruit,lb of fruit ,1,87.6,0.812903226,0.080645161,1.266129032,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,12.4,,,,,,,,0.812903226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.080645161,,,,,,,,,,,,,,,,,,,,,,,,1.266129032,,,,,,,,,,,,,,,,,,,,,,87.6,,,,,,,,,,,,,,,,,0.63,,,,,,0.01,,,,,0.157,,,
"Taro, for corm",Colocasia esculenta,COES,"N,P",Corm,Vegetable,lb of corm,1,72,0.864,0.265,#DIV/0!,10,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,28,,,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taro-Pink, for corm",Colocasia esculenta,COES,"N,P,K",Corm,Vegetable,lb of corm,1,80,0.8,0.535,2.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.535,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,1,,,,,,0.107,,,,,0.5,
"Taro-White, for corm",Colocasia esculenta,COES,"N,P,K",Corm,Vegetable,lb of corm,1,82,1.777777778,0.333333333,3.944444444,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,,,,,,,,,,1.777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,3.944444444,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,2,,,,,,0.06,,,,,0.71,
